seller_email,category_slug,title,brand,model,compatible_models,condition,price,featured,short_desc,description,image,compat_year_from,compat_year_to
tienda1@repuestos.com.ar,cubiertas,Juego Cubiertas Tacos Camel Bridge Honda XR 190/150/125,Camel Bridge,XR 190,Honda XR 190;Honda XR 150;Honda XR 125,NUEVO,135000,1,Juego de cubiertas para Honda XR 190/150/125. Par del. y tras.,Juego de cubiertas Tacos Camel Bridge para Honda XR 190/150/125. Par delantero y trasero. Excelente traccion en campo y ruta. Stock permanente.,,2014,2024
tienda1@repuestos.com.ar,cubiertas,Juego Cubiertas Camel Bridge Honda Tornado 250 / XRE 300 / XTZ 250,Camel Bridge,Tornado 250,Honda Tornado 250;Honda XRE 300;Yamaha XTZ 250,NUEVO,135000,1,Cubiertas Tacos para Tornado 250 XRE 300 y XTZ 250.,Juego cubiertas Tacos Camel Bridge para Tornado 250 XRE 300 y XTZ 250. Alto rendimiento off-road. Envios a todo el pais desde MDR Motos MDP.,,2010,2020
tienda1@repuestos.com.ar,cubiertas,Cubierta Trasera 2.75-14 Motos 110cc Universal,Varios,,Honda Wave 110;Zanella ZB 110;Motomel CG 110;Corven Energy 110,NUEVO,27000,0,Cubierta trasera 2.75-14 universal motos 110cc.,Cubierta trasera medida 2.75-14. Compatible con gran variedad de motos 110cc. Excelente agarre larga duracion.,,2005,2024
tienda1@repuestos.com.ar,pinones-coronas,Cubre Pinon Honda XR 300L Original,Honda,XR 300L,Honda XR 300L,NUEVO,16000,0,Cubre pinon original Honda XR 300L off-road.,Cubre pinon original para Honda XR 300L. Protege el pinon delantero del barro cadena y piedras en terreno off-road.,,1995,2004
tienda1@repuestos.com.ar,carroceria,Kit de Proteccion Honda XR190 Guardabarro y Laterales,Honda,XR 190,Honda XR 190,NUEVO,114000,1,Kit completo guardabarro y laterales para Honda XR 190.,Kit de proteccion completo para Honda XR 190. Incluye guardabarro delantero trasero y protectores laterales del motor. Solo en MDR Motos.,,2014,2024
tienda1@repuestos.com.ar,tapas-carter,Set Tapas Motor Honda XR 300L,Honda,XR 300L,Honda XR 300L,NUEVO,24500,0,Set tapas motor XR 300L con juntas incluidas.,Set de tapas del motor para Honda XR 300L. Material de alta resistencia. Incluye juntas. Stock disponible en MDR Motos MDP.,,1995,2004
tienda2@repuestos.com.ar,filtros-aceite,Filtro de Aceite Honda XR 150L OEM 20 Descuento Web,Honda,XR 150L,Honda XR 150L;Honda CB 150R;Honda CG 150,NUEVO,2400,0,Filtro de aceite OEM Honda XR 150L con 20% off web.,Filtro de aceite original OEM para Honda XR 150L. Cambio recomendado cada 3000km. 20% descuento comprando online en Emiliozzi.,,2014,2024
tienda2@repuestos.com.ar,pastillas-freno,Pastillas Freno EBC Delantera Honda CB 190R,EBC,CB 190R,Honda CB 190R;Honda CB 250F,NUEVO,4800,1,Pastillas EBC organicas para Honda CB 190R delantera.,Pastillas de freno EBC para Honda CB 190R delantera. Organicas alta friccion para uso urbano y ruta. Emiliozzi distribuidor EBC desde 2002.,,2018,2024
tienda2@repuestos.com.ar,amortiguadores,Par Amortiguadores Yamaha XTZ 125 Traseros,Yamaha,XTZ 125,Yamaha XTZ 125;Yamaha YBR 125,NUEVO,12000,0,Par amortiguadores traseros regulables Yamaha XTZ 125.,Par de amortiguadores traseros de alta calidad para Yamaha XTZ 125. Regulables en precarga. Precio con 20% descuento web en Emiliozzi.,,2007,2016
tienda2@repuestos.com.ar,filtros-aceite,Aceite Motor Motul 3000 4T 10W40 1 Litro,Motul,,Universal 4T,NUEVO,3200,0,Aceite mineral 4T Motul 10W40 1 litro para todas las marcas.,Aceite motor 4 tiempos Motul 3000 10W40 mineral. 1 litro. Valido para Honda Yamaha Zanella y todas las marcas. Distribuidor oficial Emiliozzi MDP.,,,
tienda2@repuestos.com.ar,filtros-aire,Filtro Aire Original Honda CG 150 Titan 150,Honda,CG 150,Honda CG 150;Honda Titan 150;Honda Biz 125,NUEVO,1440,0,Filtro aire original Honda para CG 150 Titan 150 y Biz 125.,Filtro de aire original Honda para CG 150 Titan 150 y Biz 125. Papel de alta filtracion. Precio incluye 20% descuento web de Emiliozzi.,,2004,2016
tienda2@repuestos.com.ar,cubiertas,Cubierta Pirelli MT 75 140/70-17 Distribuidor Oficial,Pirelli,MT 75,Universal 140/70-17,NUEVO,24000,1,Cubierta Pirelli MT 75 mixta 140/70-17 uso asfalto tierra.,Cubierta Pirelli MT 75 140/70-17 para uso mixto asfalto/tierra. Emiliozzi es distribuidor autorizado Pirelli en Mar del Plata.,,,
tienda2@repuestos.com.ar,baterias,Bateria YTZ7S Sellada Honda CB 190R CG 150,Honda,CB 190R,Honda CB 190R;Honda CG 150;Honda Titan 150,NUEVO,13600,0,Bateria sellada YTZ7S libre de mantenimiento 20% off.,Bateria YTZ7S sellada libre de mantenimiento. Compatible Honda CB 190R CG 150 Titan 150. 20% off comprando online en Emiliozzi Motos.,,2009,2024
tienda2@repuestos.com.ar,embrague,Kit Embrague Completo Yamaha YBR 125,Yamaha,YBR 125,Yamaha YBR 125;Yamaha XTZ 125;Yamaha Crypton 110,NUEVO,9600,0,Kit embrague platos discos y resortes para YBR 125.,Kit completo de embrague para Yamaha YBR 125. Platos discos y resortes de repuesto. 20% descuento web exclusivo de Emiliozzi Motos.,,2005,2024
tienda3@repuestos.com.ar,juntas-motor,Kit Juntas Motor Honda CB 250F Original OEM,Honda,CB 250F,Honda CB 250F;Honda CB 190R,NUEVO,18500,1,Kit juntas motor completo OEM original para Honda CB 250F.,Kit completo de juntas de motor original Honda para CB 250F. Pieza OEM genuina. Solo disponible en dealers oficiales como LC Motoparts MDP.,,2018,2024
tienda3@repuestos.com.ar,cdi-reguladores,CDI Original Honda XR 150L Ignicion Digital,Honda,XR 150L,Honda XR 150L;Honda CB 150R,NUEVO,8200,0,Modulo CDI original Honda XR 150L con garantia de fabrica.,Modulo CDI original Honda para XR 150L. Ignicion digital. Garantia de fabrica. Exclusivo en dealers oficiales Honda solo en LC Motoparts.,,2014,2024
tienda3@repuestos.com.ar,cadenas-kits,Cadena DID 428 x 110 Honda CB 190R Original,DID,CB 190R,Honda CB 190R;Honda CB 150R;Honda CG 150,NUEVO,6400,0,Cadena DID 428x110 original alta resistencia para CB 190R.,Cadena original DID 428 x 110 para Honda CB 190R. Alta resistencia y larga vida util. LC Motoparts dealer oficial Honda Mar del Plata.,,2014,2024
